Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,CrimeRate,SchoolRating
221958,1,1.9,4827,1979,2,1.45,48.6,5
771155,2,2,1035,1987,2,1.75,92.03,9
231932,1,3,2769,1982,1,1.46,52.08,3
465838,3,3.3,2708,1907,3,1.62,61.65,1
359178,4,3.4,1175,1994,2,0.74,15.66,4
744167,1,3.4,4330,1920,0,1.65,4.37,9
210268,1,1.3,3435,1980,2,0.25,11.08,4
832180,2,2.5,2370,1986,0,1.8,59.85,2
154886,2,1.2,3360,2000,1,1.14,9.5,5
237337,3,2.6,4191,2017,0,1.65,37.6,3
621430,4,2.3,3765,1979,2,0.96,55.01,9
187498,2,3.7,4443,1969,2,1.32,38.87,4
999159,1,2.1,4650,1971,2,1.1,16.37,6
275203,4,1.4,1672,1924,1,1.49,27.38,2
291335,4,1.4,2052,1981,1,0.26,92.83,6
378167,1,3.3,2114,1988,3,0.21,67.6,3
141090,2,2.9,3698,1911,2,0.57,49.6,9
429365,1,1.3,877,1914,0,0.4,1.27,2
164820,4,1.3,3421,1958,1,1.76,99.24,9
887201,5,3.1,1400,1925,2,0.52,67.15,5
421879,5,1.2,1865,2004,2,1.95,31.69,8
818315,3,3.5,2936,2008,1,0.74,87.93,2
427069,1,3.1,3249,1925,3,0.45,25.84,6
876997,1,1.2,3143,1946,1,1.6,54.4,3
299041,3,1.3,2663,1931,1,1.35,63.61,5
891743,3,4,2118,1909,0,1.05,22.11,8
203355,3,2.1,4397,1915,0,1.16,97.84,1
335796,4,2.1,4562,1970,3,1.47,74.82,5
314176,1,3.4,2990,1916,2,0.53,55.78,3
284779,4,3.8,1792,1922,1,1.99,18.06,4
447449,3,4,3512,1925,3,1.95,5.39,2
521909,1,3.3,2992,1984,0,1.34,32.01,9
358795,4,2.1,2048,1985,1,0.48,75.32,3
586232,4,1.3,3854,2021,2,1.39,26.93,2
600186,3,3.3,4833,1906,0,0.24,53.96,9
256730,1,2.7,2797,1913,0,0.16,72.79,7
970910,3,2.3,4487,1978,0,0.59,10.79,6
484681,1,3.7,2951,2016,3,0.98,68.53,1
249503,5,1.3,4818,1906,2,1.75,9.19,5
754811,2,2.5,3910,1908,1,1.48,96.51,3
627035,2,1,2770,2014,3,1.51,48.84,1
748143,2,2.4,997,1947,3,0.91,15.07,4
552366,3,1.2,3426,1971,3,0.76,34.24,2
165725,5,1.4,2002,2013,0,0.8,41.34,2
229981,1,1.4,2835,1958,2,1.98,75.82,3
184654,4,2.9,1277,1986,3,0.18,74.34,8
691723,1,3.2,2054,1992,1,1.75,61.19,8
419030,4,2.8,1722,1981,2,1.2,10.59,7
428947,1,3.9,1219,1994,1,0.93,15.16,6
655839,5,2.1,3004,1993,2,1.48,9.38,9
373538,4,1.9,3397,2015,1,1.02,57.72,4
431236,3,3.6,1920,1938,0,1.76,87.71,1
628178,1,1.7,3868,1998,3,1.81,43.38,8
665894,1,3.9,1750,1917,1,0.9,16.08,7
589492,4,1,3136,1958,2,0.63,55.8,7
356840,3,3.9,3043,2005,3,1.23,81.18,3
573254,3,1.1,3445,2002,3,1.83,74.17,4
449457,5,3.7,2657,1916,2,0.5,88.15,9
765987,3,2.6,2665,1913,1,1.28,27.79,6
370936,3,4,3712,1930,0,1.3,19.4,5
339931,3,1.2,3653,1923,0,1.49,87.98,3
339629,2,2.7,4028,1998,1,0.35,65.76,9
305041,5,3.9,4519,2007,3,1.46,31.09,5
798361,1,2.6,4028,1959,3,1.83,74.23,5
831912,4,2.9,3171,1944,3,0.44,81.51,4
517113,1,3.1,3691,1997,3,0.55,61.5,4
168148,5,2.4,4556,1902,1,1.95,68.79,1
877089,4,2.9,894,1936,3,0.44,37.53,7
748531,5,2.8,3474,1942,2,1.72,53.87,9
351995,3,3.7,2755,1939,3,1.04,52.42,3
778843,4,1.1,1593,1989,0,0.57,84.8,2
672843,3,1.8,2634,1954,3,1.75,84,3
356508,1,3.9,2916,1986,1,0.95,83.27,1
903591,1,3.7,4906,2007,0,1.08,1.1,6
996942,4,2.4,4125,1938,1,0.78,74.95,7
206530,4,2.9,3719,1914,1,1.23,75.87,2
704365,5,1.8,3397,2019,0,0.41,67.84,8
922352,5,1.6,4005,2012,1,0.84,75.63,6
560337,3,2.4,1614,1903,1,1.94,84.2,4
824839,4,2.1,1145,1992,3,0.59,47.03,5
905889,1,2.8,3149,1985,2,1.35,50.21,8
559773,5,1.2,1162,1924,1,0.72,12.47,3
308261,5,3.9,3243,1912,1,1.57,38.54,3
864469,1,4,3065,1981,1,0.35,64.34,4
441097,5,3.1,2988,1932,3,1.94,78.04,1
415139,3,2.6,3805,1915,2,0.96,21.72,9
271829,4,1.9,4081,2008,0,0.55,13.78,8
371836,1,3.4,1784,1941,3,0.24,66.3,8
538974,4,3.1,2439,2007,3,0.42,0.19,6
302283,5,1.5,1627,1965,2,1.09,17.84,7
296769,5,3.7,3530,1954,2,0.74,2.91,6
661353,1,3.5,4331,1998,3,1.67,16.69,9
323165,3,3.8,3735,1941,0,0.92,18.13,3
723587,2,3.2,4676,1933,3,0.57,38.77,3
635822,1,2.8,926,1929,2,1.27,40.23,3
587879,2,2.3,3977,2022,0,1.44,87.43,3
664685,2,3.8,3856,2018,2,0.42,51.01,9
882038,3,3.6,1403,1912,0,0.42,72.34,4
453531,2,1.1,4249,1912,1,0.17,10.41,7
363160,2,1.1,4946,1917,2,1.5,22.54,9
679879,3,2.1,4333,1931,2,1.36,70.29,7
320884,2,3.4,4167,1995,3,1,5.28,9
123247,2,4,4168,1998,2,1.7,48.66,3
124300,2,1.5,4597,2022,2,1.63,59.94,4
567281,1,2.8,2592,1938,1,1.21,60.21,8
707086,1,2.1,3661,1945,2,1.75,2.29,6
633556,1,3.9,4276,2015,1,0.49,32.21,5
448951,3,3.5,4217,1928,1,0.31,63.65,4
374329,5,3.5,2445,1961,1,0.61,14.9,8
819064,2,2.4,2005,2012,1,0.21,69.54,1
842139,2,2.2,3830,1992,0,1.11,74.59,9
532315,3,1.8,3672,1961,3,1.88,98.2,1
616588,2,1.2,3872,2016,0,0.17,20.98,8
336584,1,3.6,2654,2007,2,0.33,82.51,4
662332,5,3.4,4821,1956,0,0.96,52.03,9
937646,4,4,3508,1915,0,1.87,37.35,5
476896,2,4,4302,1955,2,0.7,12.24,3
148984,1,2.7,2132,2007,2,1.06,73.55,9
402918,4,3.3,1001,2010,2,0.18,23.59,9
364712,5,3.8,4307,2020,0,0.38,37.14,4
220151,4,3.5,1374,1909,0,1.97,6.25,4
555808,1,1.7,1336,1929,2,1.93,80.14,8
233767,4,2.4,2425,1924,3,0.11,76.66,2
748663,3,1.4,2922,2002,3,1.91,73.36,9
803550,4,3.9,1185,1983,1,1.31,29.94,6
236330,2,2.8,4081,1904,2,1.75,17.35,9
580754,2,1.7,1274,1964,1,0.96,63.76,8
401648,3,3,1217,1993,3,1.08,49.62,7
788519,1,2.9,4400,1948,1,1.03,17.83,1
113986,2,2.1,1754,1902,2,1.37,68.59,3
686146,5,1.3,2005,1944,2,0.37,99.11,2
229312,2,3,4920,1913,2,0.16,74.72,5
112666,2,2.6,2790,2019,0,0.69,74,5
400804,1,3.3,4372,1929,1,1.44,95.03,5
234633,4,2.6,4958,2013,3,0.48,20.29,4
388998,2,3.6,3513,1967,3,1.38,56.55,5
950937,3,2.7,3003,1917,3,1.94,97.96,3
728776,4,2.7,3920,1961,0,0.28,16.53,1
807611,5,3.6,1766,1936,0,1.38,70.03,5
384806,1,2.2,4232,1924,2,0.94,58.58,9
894824,5,1.4,1488,1947,3,1.75,58.65,9
130535,4,1.1,4501,1964,0,0.44,69.77,4
475713,4,3.3,1141,1952,2,1.42,92.96,3
938688,4,2.9,2524,2009,3,1.69,78.26,1
451279,5,3.1,2592,1978,1,1.89,5.61,2
